"Product SKU","Product Name","Attribute: Size"
"0850394","Variation #1744 of <em>Echeveria</em> ‘Neon Breakers’<br />USPP 21406","3.5"""
"0850080","Variation #1743 of <em>Echeveria</em> ‘Neon Breakers’<br />USPP 21406","2.5"""
"","Variation #1705 of <em>Aeonium arboreum atropurpureum</em> &#8220;Zwartkop&#8221;","3.5"""
"0850042","Variation #1676 of <em>Cremnosedum</em> &#8216;Crocodile&#8217;","2.5"""
"0850043","Variation #1675 of <em>Cremnosedum</em> &#8216;Little Gem&#8217;","2.5"""
"0850588","Variation #1674 of <em>Trichocereus grandiflorus </em><br />&#8220;Torch Cactus&#8221;","3.5"""
"0850583","Variation #1673 of <em>Senecio repens</em><br />&#8220;Blue Chalksticks&#8221;","3.5"""
"0850249","Variation #1672 of <em>Senecio repens</em><br />&#8220;Blue Chalksticks&#8221;","2.5"""
"0850580","Variation #1671 of <em>Senecio jacobsenii</em> <br />&#8220;Trailing Jade&#8221;","3.5"""
"0850579","Variation #1670 of <em>Senecio haworthii</em> <br />&#8220;Woolly Senecio&#8221;","3.5"""
"0850246","Variation #1669 of <em>Senecio haworthii</em> <br />&#8220;Woolly Senecio&#8221;","2.5"""
"0850572","Variation #1668 of <em>Sempervivum</em> &#8216;Pacific Devil&#8217;s Food&#8217;","3.5"""
"0850240","Variation #1667 of <em>Sempervivum</em> &#8216;Pacific Devil&#8217;s Food&#8217;","2.5"""
"0850576","Variation #1666 of <em>Sempervivum tectorum</em>","3.5"""
"0850567","Variation #1665 of <em>Sempervivum calcareum</em><br />&#8220;Hens n&#8217; Chicks&#8221;","3.5"""
"0850235","Variation #1664 of <em>Sempervivum calcareum</em><br />&#8220;Hens n&#8217; Chicks&#8221;","2.5"""
"0850566","Variation #1663 of <em>Sempervivum arachnoideum</em> &#8216;Cebenese&#8217;","3.5"""
"0850234","Variation #1662 of <em>Sempervivum arachnoideum</em> &#8216;Cebenese&#8217;","2.5"""
"0850565","Variation #1661 of <em>Sempervivum arachnoideum</em> &#8220;Houseleek&#8221;","3.5"""
"0850233","Variation #1660 of <em>Sempervivum arachnoideum</em> &#8220;Houseleek&#8221;","2.5"""
"0850560","Variation #1659 of <em>Sedum</em> &#8216;Burrito&#8217;","3.5"""
"0850228","Variation #1658 of <em>Sedum</em> &#8216;Burrito&#8217;","2.5"""
"0850564","Variation #1657 of <em>Sedum spathulifolium</em> &#8216;Capo Blanco&#8217;","3.5"""
"0850232","Variation #1656 of <em>Sedum spathulifolium</em> &#8216;Capo Blanco&#8217;","2.5"""
"0850563","Variation #1655 of <em>Sedum rubrotinctum</em> &#8216;Aurora&#8217;","3.5"""
"0850231","Variation #1654 of <em>Sedum rubrotinctum</em> &#8216;Aurora&#8217;","2.5"""
"0850562","Variation #1653 of <em>Sedum rubrotinctum </em><br />&#8220;Pork and Beans&#8221;","3.5"""
"0850230","Variation #1652 of <em>Sedum rubrotinctum </em><br />&#8220;Pork and Beans&#8221;","2.5"""
"0850561","Variation #1651 of <em>Sedum pachyphyllum</em>","3.5"""
"0850229","Variation #1650 of <em>Sedum pachyphyllum</em>","2.5"""
